City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
Chapais,CA,2020-05-06 22:48:28,49.78,-74.85,90,64,35.6,5.82
Madang,PG,2020-05-06 22:48:28,-5.22,145.8,100,65,87.33,1.79
Carnarvon,AU,2020-05-06 22:44:07,-24.87,113.63,0,45,67.8,17.98
Ponta Delgada,PT,2020-05-06 22:48:28,37.73,-25.67,40,93,62.6,9.17
Souillac,MU,2020-05-06 22:48:29,-20.52,57.52,20,94,71.6,2.24
Panzhihua,CN,2020-05-06 22:48:29,26.59,101.71,16,27,80.01,2.86
Bykovo,RU,2020-05-06 22:48:29,55.64,38.08,40,87,57.0,4.47
Hambantota,LK,2020-05-06 22:48:29,6.12,81.12,65,72,84.22,8.28
Ranau,MY,2020-05-06 22:48:29,5.95,116.66,20,75,89.6,5.82
Phuket,TH,2020-05-06 22:48:30,8.0,98.25,20,79,86.0,5.82
Nishihara,JP,2020-05-06 22:48:30,26.18,127.76,75,65,80.6,12.75
Mersing,MY,2020-05-06 22:48:30,2.43,103.84,40,84,86.0,2.24
Karratha,AU,2020-05-06 22:48:30,-20.74,116.85,0,28,88.05,14.58
Zhigalovo,RU,2020-05-06 22:48:30,54.81,105.16,94,59,48.02,11.01
Karema,TZ,2020-05-06 22:48:31,-6.82,30.44,72,79,70.99,8.88
Port Hardy,CA,2020-05-06 22:44:15,50.7,-127.42,75,71,51.8,10.29
Kislovodsk,RU,2020-05-06 22:48:31,43.91,42.72,90,93,55.4,6.71
Severo-Kuril'sk,RU,2020-05-06 22:48:31,50.68,156.12,31,79,37.44,16.17
Alofi,NU,2020-05-06 22:48:31,-19.06,-169.92,75,74,86.0,6.93
Belmonte,BR,2020-05-06 22:48:32,-15.86,-38.88,40,83,75.2,5.82
Baker City,US,2020-05-06 22:46:03,44.77,-117.83,75,37,51.8,13.87
Mount Isa,AU,2020-05-06 22:48:32,-20.73,139.5,0,32,82.4,9.17
Bosilegrad,RS,2020-05-06 22:48:32,42.5,22.47,50,82,39.94,4.05
Berbera,SO,2020-05-06 22:48:32,10.44,45.01,76,71,86.45,4.97
Uyskoye,RU,2020-05-06 22:48:33,54.38,60.0,0,45,60.31,3.62
Tateyama,JP,2020-05-06 22:46:07,34.98,139.87,20,48,72.0,21.92
Isangel,VU,2020-05-06 22:48:33,-19.55,169.27,90,88,71.6,14.99
Laas,IT,2020-05-06 22:48:33,46.62,10.7,5,80,39.2,3.36
Leningradskiy,RU,2020-05-06 22:48:33,69.38,178.42,65,92,32.34,6.08
Benghazi,LY,2020-05-06 22:48:33,32.12,20.07,0,37,69.66,12.88
Santiago,CL,2020-05-06 22:43:34,-33.46,-70.65,34,23,55.4,4.7
Grand Gaube,MU,2020-05-06 22:48:33,-20.01,57.66,52,86,73.99,5.99
Dudinka,RU,2020-05-06 22:48:34,69.41,86.18,75,86,30.2,6.71
Verkhoyansk,RU,2020-05-06 22:48:34,67.54,133.38,100,93,34.93,7.36
Kismayo,SO,2020-05-06 22:48:34,-0.36,42.55,79,81,80.22,10.96
Port Hedland,AU,2020-05-06 22:48:34,-20.32,118.57,2,25,89.6,11.41
Longyearbyen,SJ,2020-05-06 22:48:34,78.22,15.64,40,74,30.2,13.87
Okha,RU,2020-05-06 22:48:34,53.57,142.95,0,54,46.99,6.51
Kiunga,PG,2020-05-06 22:48:35,-6.12,141.29,87,95,78.57,5.41
Ola,RU,2020-05-06 22:48:35,59.58,151.28,100,69,39.0,4.29
Formosa,AR,2020-05-06 22:48:35,-26.18,-58.18,0,93,50.0,2.24
Talcahuano,CL,2020-05-06 22:48:35,-36.72,-73.12,75,87,53.6,4.7
Grão Mogol,BR,2020-05-06 22:48:35,-16.56,-42.89,100,80,65.12,1.5
San Cristobal,VE,2020-05-06 22:48:35,7.77,-72.22,91,83,68.59,2.82
Mossamedes,AO,2020-05-06 22:44:31,-15.2,12.15,77,72,78.71,5.08
Neiafu,TO,2020-05-06 22:48:36,-18.65,-173.98,40,79,86.0,3.36
Kidal,ML,2020-05-06 22:44:47,18.44,1.41,0,14,82.98,10.25
Sistranda,NO,2020-05-06 22:48:36,63.73,8.83,75,86,39.2,17.22
Diamantino,BR,2020-05-06 22:48:36,-14.41,-56.45,100,93,70.18,5.35
Poyarkovo,RU,2020-05-06 22:48:36,49.6,128.68,100,23,70.95,16.22
Shimoda,JP,2020-05-06 22:48:36,34.67,138.95,20,48,64.4,21.92
Kabelvåg,NO,2020-05-06 22:48:37,68.21,14.48,99,83,36.0,8.01
Ambon City,ID,2020-05-06 22:48:37,-3.7,128.18,40,66,89.6,4.7
Goderich,CA,2020-05-06 22:48:37,43.75,-81.72,0,69,44.01,6.89
Nikolayevskaya,RU,2020-05-06 22:48:37,47.61,41.5,100,90,55.22,6.58
Cidreira,BR,2020-05-06 22:48:37,-30.18,-50.21,19,76,59.07,14.29
Voss,NO,2020-05-06 22:48:37,60.62,6.42,92,91,39.0,0.81
Vila Franca do Campo,PT,2020-05-06 22:48:37,37.72,-25.43,40,93,62.6,9.17
Laguna,US,2020-05-06 22:48:38,38.42,-121.42,1,9,82.4,16.11
Nizhniy Baskunchak,RU,2020-05-06 22:48:38,48.22,46.83,100,66,63.91,14.16
Lakes Entrance,AU,2020-05-06 22:48:38,-37.88,147.98,88,52,69.01,11.99
Sirte,LY,2020-05-06 22:48:38,31.21,16.59,59,27,76.03,12.06
Zhezkazgan,KZ,2020-05-06 22:48:38,47.8,67.71,75,49,46.4,13.42
Pyu,MM,2020-05-06 22:48:38,18.48,96.43,4,41,96.85,8.59
Mudgee,AU,2020-05-06 22:48:39,-32.59,149.59,100,72,64.99,10.29
George Town,MY,2020-05-06 22:44:10,5.41,100.34,20,79,87.8,2.24
Aklavik,CA,2020-05-06 22:44:05,68.22,-135.01,90,73,26.6,4.7
Broome,US,2020-05-06 22:44:19,42.25,-75.83,90,89,43.0,8.05
Miramar,US,2020-05-06 22:47:53,25.99,-80.23,1,57,80.6,14.99
Natal,BR,2020-05-06 22:46:43,-5.79,-35.21,40,94,75.2,3.36
Batavia,US,2020-05-06 22:48:39,41.85,-88.31,1,58,54.0,6.93
São Raimundo das Mangabeiras,BR,2020-05-06 22:48:40,-7.02,-45.48,78,86,74.82,2.3
Kakuda,JP,2020-05-06 22:48:40,37.97,140.78,75,39,62.6,18.34
Pontianak,ID,2020-05-06 22:48:40,-0.03,109.33,20,79,84.2,3.36
Dzilam González,MX,2020-05-06 22:44:17,21.28,-88.93,86,78,82.0,6.91
Krasnogorskoye,RU,2020-05-06 22:48:40,52.3,86.2,73,50,56.12,13.47
Xinpu,CN,2020-05-06 22:48:40,34.6,119.16,10,54,73.53,12.08
Huntsville,US,2020-05-06 22:45:40,34.73,-86.59,1,76,48.2,5.73
Piaçabuçu,BR,2020-05-06 22:48:41,-10.41,-36.43,77,88,77.85,6.42
Charters Towers,AU,2020-05-06 22:48:41,-20.1,146.27,95,52,76.75,10.74
Tūkrah,LY,2020-05-06 22:48:41,32.53,20.58,0,26,69.57,13.0
Manche,FR,2020-05-06 22:48:41,49.0,-1.17,75,51,55.0,4.43
Acapulco de Juárez,MX,2020-05-06 22:48:41,16.86,-99.89,75,83,78.8,5.82
Salina Cruz,MX,2020-05-06 22:48:41,16.17,-95.2,45,58,86.74,20.29
Finschhafen,PG,2020-05-06 22:48:42,-6.6,147.87,100,90,77.85,6.24
Çubuk,TR,2020-05-06 22:48:42,40.24,33.03,40,81,50.0,3.36
Shelton,US,2020-05-06 22:48:42,41.32,-73.09,90,87,46.4,1.57
Sekichō-furumaya,JP,2020-05-06 22:48:42,34.85,136.4,20,48,71.01,14.99
Yerbogachën,RU,2020-05-06 22:48:42,61.28,108.01,100,91,32.14,9.19
Faya,SA,2020-05-06 22:48:42,18.39,42.45,80,82,64.4,2.51
Abapó,BO,2020-05-06 22:48:42,-18.83,-63.47,100,54,52.86,2.75
Micheweni,TZ,2020-05-06 22:48:43,-4.97,39.83,54,86,78.51,14.74
Dhārchula,IN,2020-05-06 22:48:43,29.85,80.53,99,58,60.94,2.86
Kyren,RU,2020-05-06 22:48:43,51.68,102.14,16,45,50.92,2.19
Coahuayana Viejo,MX,2020-05-06 22:48:43,18.73,-103.68,0,74,73.71,2.28
Labuhan,ID,2020-05-06 22:48:43,-6.88,112.21,79,71,85.71,7.05
Bethel,US,2020-05-06 22:48:43,41.37,-73.41,90,75,44.6,2.48
Sherman,US,2020-05-06 22:48:44,33.64,-96.61,1,63,66.99,3.36
Boyolangu,ID,2020-05-06 22:48:44,-8.12,111.89,100,77,82.9,7.58
Eureka,US,2020-05-06 22:47:43,40.8,-124.16,0,74,60.01,5.99
Hay River,CA,2020-05-06 22:48:44,60.82,-115.8,40,87,42.8,8.05
São Filipe,CV,2020-05-06 22:44:04,14.9,-24.5,79,75,73.81,12.86
East London,ZA,2020-05-06 22:48:45,-33.02,27.91,7,76,63.55,4.36
Norman Wells,CA,2020-05-06 22:48:45,65.28,-126.83,20,52,46.4,14.99
Mascota,MX,2020-05-06 22:48:45,20.52,-104.78,20,78,78.8,6.93
Manicoré,BR,2020-05-06 22:48:45,-5.81,-61.3,100,94,77.0,1.12
Shache,CN,2020-05-06 22:48:45,38.42,77.24,100,58,60.12,18.97
Okato,NZ,2020-05-06 22:48:45,-39.2,173.88,62,61,61.0,8.01
Lompoc,US,2020-05-06 22:44:06,34.64,-120.46,1,59,66.99,14.99
Pevek,RU,2020-05-06 22:48:46,69.7,170.31,99,88,33.42,17.58
Rudnogorsk,RU,2020-05-06 22:48:46,57.26,103.75,100,80,43.02,9.8
Ukiah,US,2020-05-06 22:48:46,39.15,-123.21,1,25,73.4,6.93
Brigham City,US,2020-05-06 22:48:46,41.51,-112.02,1,21,59.0,25.28
Kafanchan,NG,2020-05-06 22:48:47,9.58,8.3,79,78,73.99,3.62
Kearney,US,2020-05-06 22:48:47,40.7,-99.08,1,57,55.4,8.05
Atambua,ID,2020-05-06 22:48:47,-9.11,124.89,18,70,82.99,1.9
Mananjary,MG,2020-05-06 22:48:47,-21.22,48.33,42,92,69.8,4.81
Sumbe,AO,2020-05-06 22:48:47,-11.21,13.84,89,86,78.49,4.18
São José da Coroa Grande,BR,2020-05-06 22:48:48,-8.9,-35.15,100,85,78.44,7.36
Lawrenceburg,US,2020-05-06 22:45:15,38.04,-84.9,1,74,44.6,5.7
Narsaq,GL,2020-05-06 22:48:48,60.92,-46.05,75,80,41.0,4.7
Rocha,UY,2020-05-06 22:45:26,-34.48,-54.33,39,88,47.3,6.42
Te Anau,NZ,2020-05-06 22:48:48,-45.42,167.72,89,82,54.23,5.48
Chui,UY,2020-05-06 22:44:25,-33.7,-53.46,27,90,50.95,8.14
Gimli,CA,2020-05-06 22:44:06,50.63,-96.99,0,52,41.0,5.01
Havelock,US,2020-05-06 22:48:49,34.88,-76.9,32,86,57.99,3.0
George Town,MY,2020-05-06 22:48:49,5.41,100.34,20,79,87.8,2.24
Kutum,SD,2020-05-06 22:48:49,14.2,24.67,95,23,71.46,12.35
Lodwar,KE,2020-05-06 22:48:49,3.12,35.6,2,65,81.0,14.67
Iroquois Falls,CA,2020-05-06 22:48:49,48.77,-80.68,5,63,30.2,9.17
Nichinan,JP,2020-05-06 22:48:50,31.6,131.37,20,38,73.4,19.46
Trofors,NO,2020-05-06 22:48:50,65.53,13.41,100,80,39.2,6.93
Key Largo,US,2020-05-06 22:48:08,25.09,-80.45,0,65,78.01,7.0
Kendari,ID,2020-05-06 22:48:50,-3.94,122.5,100,93,78.26,6.4
Gazojak,TM,2020-05-06 22:48:50,41.19,61.4,99,40,74.53,15.79
Mikkeli,FI,2020-05-06 22:48:50,61.69,27.27,0,69,37.0,2.24
Sakakah,SA,2020-05-06 22:48:51,29.97,40.21,0,44,60.8,5.28
Saint-François,FR,2020-05-06 22:48:51,46.42,3.91,3,87,46.4,2.48
Port Lincoln,AU,2020-05-06 22:48:51,-34.73,135.87,14,63,64.4,28.1
Bontang,ID,2020-05-06 22:48:51,0.13,117.5,1,66,87.28,5.37
Sinnamary,GF,2020-05-06 22:48:51,5.38,-52.95,70,88,78.75,13.44
Dīnhāta,IN,2020-05-06 22:48:51,26.13,89.47,0,38,88.07,2.73
Kudahuvadhoo,MV,2020-05-06 22:48:51,2.67,72.89,0,76,84.15,13.78
Khorramshahr,IR,2020-05-06 22:48:52,30.44,48.17,0,60,71.6,2.24
Sydney,AU,2020-05-06 22:48:52,-33.87,151.21,100,46,72.0,9.17
Sola,VU,2020-05-06 22:48:52,-13.88,167.55,58,81,78.8,17.98
Carndonagh,IE,2020-05-06 22:48:52,55.25,-7.27,1,83,42.78,5.28
Praia da Vitória,PT,2020-05-06 22:44:46,38.73,-27.07,40,87,60.8,9.1
Salinópolis,BR,2020-05-06 22:45:07,-0.61,-47.36,97,86,80.37,10.92
Gravdal,NO,2020-05-06 22:48:52,68.12,13.5,100,86,34.81,22.06
Pangnirtung,CA,2020-05-06 22:48:52,66.15,-65.71,0,86,13.86,3.65
Salalah,OM,2020-05-06 22:48:53,17.02,54.09,20,78,82.4,3.36
